parcel_number,address,status_long,latitude,longitude,status_short
010 078800400,269 PERKINS ST,Level 2 - Missing slope,37.81381457,-122.2554304,Incomplete Evaluation
032 211200200,2112 35TH AVE,Incomplete Evaluation - Unclaimed,37.78424471,-122.2161941,Incomplete Evaluation
011 084201100,827 WARFIELD AVE,Incomplete Evaluation,37.81369699,-122.2443209,Incomplete Evaluation
010 080401201,82 GARLAND AVE,Incomplete Evaluation,37.81719395,-122.2581952,Incomplete Evaluation
010 079403101,222 OAKLAND AVE,Done - Level 2 Required  ,37.81570114,-122.2579774,Level 2
022 033900300,2709 IVY DR,Done - Level 2 Required  ,37.80212076,-122.2392286,Level 2
022 031000500,617 BROOKLYN AVE,Incomplete Evaluation,37.80425808,-122.2484072,Incomplete Evaluation
032 204603000,2218 HIGH ST,Incomplete Evaluation,37.77858361,-122.2074797,Incomplete Evaluation
023 043203301,765 MACARTHUR BLVD,Incomplete Evaluation,37.80693577,-122.2417282,Incomplete Evaluation
022 034200400,921 E 28TH ST,Incomplete Evaluation,37.80094782,-122.2381551,Incomplete Evaluation
021 021900400,741 E 18TH ST,Incomplete Evaluation,37.79623177,-122.2479603,Incomplete Evaluation
023 039401200,1074 E 33RD ST,Done - Level 1,37.80284398,-122.2350311,Level 1
023 039101900,1100 BELLA VISTA AVE,Exempt - no large openings,37.80072156,-122.2353945,Exempt
008 062900200,159 17TH ST,Exempt - no large openings,37.80416152,-122.2630136,Exempt
012 093802801,188 MOSS WAY,Exempt - no large openings,37.82275261,-122.2551855,Exempt
038 317706600,5760 FOOTHILL BLVD,,37.77223431,-122.1925819,Level 1
012 098701900,67 GLEN AVE,Incomplete Evaluation - Unclaimed,37.82494021,-122.2510814,Incomplete Evaluation
021 026800405,2011 10TH AVE,Done - Level 1,37.79638413,-122.244089,Level 1
021 022600200,262 HANOVER AVE,Level 2 - Missing slope,37.80239616,-122.2526426,Incomplete Evaluation
008 065500500,146 GRAND AVE,Exempt - no large openings,37.81150713,-122.2640247,Exempt
020 021701100,926 E 17TH ST,Done - Level 1,37.79460588,-122.2470518,Level 1
023 047800600,3719 EMERSON ST,Incomplete Evaluation - Unclaimed,37.80435379,-122.230815,Incomplete Evaluation
010 078504300,320 EUCLID AVE,Exempt - engineer's letter,37.81366048,-122.2523242,Exempt
023 040401700,882 CLEVELAND ST,Incomplete Evaluation,37.80330529,-122.2401128,Incomplete Evaluation
022 030803101,269 HANOVER AVE,Exempt - engineer's letter,37.80278567,-122.2526741,Exempt
010 077800200,405 BELLEVUE AVE,Done - Level 1,37.81027816,-122.252857,Level 1
048 562601900,10010 MACARTHUR BLVD,Exempt - no large openings,37.74583901,-122.1555895,Exempt
010 078801601,266 ADAMS ST,Done - Level 2 Required ,37.81332978,-122.2573001,Level 2
011 083703701,765 RAND AVE,Incomplete Evaluation,37.81193408,-122.2438589,Incomplete Evaluation
013 113403400,206 MATHER ST,Level 2 - Missing slope,37.83163505,-122.2494146,Incomplete Evaluation
012 100402900,4126 OPAL ST,Done - Level 1,37.82970899,-122.2580824,Level 1
021 022101400,524 E 17TH ST,Done - Level 1,37.79764713,-122.2504173,Level 1
010 078505101,272 EUCLID AVE,Done - Level 2 Required  ,37.81506492,-122.2529078,Level 2
010 077600100,429 STATEN AVE,Incomplete Evaluation,37.80954339,-122.2540219,Incomplete Evaluation
010 078801300,255 JAYNE AVE,Incomplete Evaluation,37.81288014,-122.2570836,Incomplete Evaluation
011 084001800,840 YORK ST,Incomplete Evaluation,37.81314615,-122.2429962,Incomplete Evaluation
021 027301300,1930 7TH AVE,Done - Level 2 Required  ,37.79775616,-122.2467301,Level 2
016 140902101,335 ALCATRAZ AVE,Done - Level 1,37.85078916,-122.2538938,Level 1
025 072202000,2930 E 16TH ST,Incomplete Evaluation - Unclaimed,37.78046113,-122.2258113,Incomplete Evaluation
048A706900600,309 63RD ST,Incomplete Evaluation,37.85014434,-122.2527389,Incomplete Evaluation
038 323301500,1423 57TH AVE,Exempt - city inspection,37.76672758,-122.2012427,Exempt
020 018001001,220 E 15TH ST,Ask for exemption - did not review ,37.79849838,-122.2548146,Exempt
032 211503602,1921 36TH AVE,Incomplete Evaluation - Unclaimed,37.78127058,-122.2183619,Incomplete Evaluation
020 013700900,848 INTERNATIONAL BLVD,Incomplete Evaluation,37.79308701,-122.2504129,Incomplete Evaluation
023 040300800,3025 PARK BLVD,Exempt - engineer's letter,37.80329092,-122.2376598,Exempt
010 079602200,268 VERNON ST,Done - Level 1,37.81401276,-122.2577964,Level 1
010 078300700,375 BELLEVUE AVE,Exempt - no large openings,37.81164582,-122.2532764,Exempt
010 083403200,580 JEAN ST,Done - Level 1,37.81734694,-122.2478699,Level 1
010 079200300,447 ORANGE ST,Incomplete Evaluation - Unclaimed,37.81796137,-122.2538558,Incomplete Evaluation
025 073100903,1633 28TH AVE,Incomplete Evaluation - Unclaimed,37.78223556,-122.2280715,Incomplete Evaluation
011 084101700,872 WARFIELD AVE,Done - Level 1,37.81402941,-122.2432203,Level 1
040A345700400,8025 GREENRIDGE DR,Level 1 - missing data ,37.77350646,-122.1540582,Level 1
010 079002800,354 VERNON ST,Level 2 - Missing slope,37.81558249,-122.2550231,Incomplete Evaluation
016 142404200,540 ALCATRAZ AVE,Level 1 - missing data ,37.85068959,-122.2618598,Level 1
036 242100500,4633 FAIRFAX AVE,Done - Level 1,37.77955185,-122.20485,Level 1
009 068801000,450 28TH ST,Done - Level 1,37.81701064,-122.2668239,Level 1
011 083901600,824 ERIE ST,Done - Level 1,37.81247009,-122.2425448,Level 1
008 063101201,1448 MADISON ST,Incomplete Evaluation,37.8021219,-122.2632573,Incomplete Evaluation
012 092700800,300 MONTE VISTA AVE,Exempt - engineer's letter,37.82292785,-122.2498296,Exempt
012 098503000,3877 HOWE ST,Done - Level 2 Required  ,37.826195,-122.25501,Level 2
008 062701001,1525 JACKSON ST,Exempt - engineer's letter,37.80398344,-122.2645258,Exempt
012 098801301,791 KINGSTON AVE,Exempt - engineer's letter,37.8247224,-122.2486767,Exempt
010 078302000,370 STATEN AVE,Done - Level 1,37.81148499,-122.2536631,Level 1
021 028300601,2125 10TH AVE,Done - Level 1,37.79733622,-122.2427906,Level 1
020 018000900,224 E 15TH ST,Done - Level 1,37.79833011,-122.2547146,Level 1
013 110802300,4350 BROADWAY,Done - Level 1,37.83199577,-122.2535424,Level 1
029 099402700,3700 LINCOLN AVE,Level 1 - missing data ,37.80164414,-122.2117482,Level 1
,1450 13TH AVE,Done - Level 2 Required  ,37.790269,-122.246233,Level 2
021 022600100,282 WAYNE AVE,Done - Level 1,37.80244993,-122.2529898,Level 1
021 022802600,252 ACTON PL,Done - Level 1 ,37.80143793,-122.2513304,Level 1
005 040902000,1829 MYRTLE ST,Exempt - no parking/commercial,37.81194302,-122.2810444,Exempt
010 079505001,226 ORANGE ST,Done - Level 1,37.81526665,-122.257237,Level 1
011 084403400,3650 GRAND AVE,Incomplete Evaluation,37.81598689,-122.2451992,Incomplete Evaluation
010 081800201,515 VERNON ST,Done - Level 2 in process,37.81806179,-122.250946,Level 2
022 038001400,3201 BEAUMONT AVE,Incomplete Evaluation,37.79987779,-122.2294737,Incomplete Evaluation
020 018000500,1545 3RD AVE,Exempt - no large openings,37.79849817,-122.2539801,Exempt
021 023802100,1202 E 18TH ST,Level 1 - missing data ,37.79330278,-122.2440125,Level 1
023 041003700,635 HILLSBOROUGH ST,Incomplete Evaluation,37.80481611,-122.2478376,Incomplete Evaluation
010 077403203,280 LEE ST,Done - Level 1,37.81249064,-122.2565286,Level 1
010 081200300,535 OAKLAND AVE,Incomplete Evaluation - Unclaimed,37.81991586,-122.2528509,Incomplete Evaluation
011 085601500,1001 WARFIELD AVE,Done - Level 1,37.816188,-122.241342,Level 1
011 084001000,825 ERIE ST,Done - Level 2 Required  ,37.8127586,-122.2429624,Level 2
012 099601700,4015 HOWE ST,Exempt - engineer's letter,37.82677096,-122.254048,Exempt
022 034202005,2515 10TH AVE,Done - Level 1,37.799597,-122.239435,Level 1
022 030500700,2227 7TH AVE,Done - Level 1,37.80011505,-122.2445253,Level 1
010 077900200,469 VAN BUREN AVE,Done - Level 1,37.81056661,-122.2517207,Level 1
023 041200702,2140 LAKESHORE AVE,Done - Level 2 Required  ,37.80482976,-122.2503317,Level 2
026 076600302,2361 FRUITVALE AVE,Level 1 - missing data ,37.78669553,-122.221912,Level 1
011 084002100,864 YORK ST,Done - Level 1,37.81345663,-122.2426549,Level 1
008 062703500,1560 ALICE ST,Exempt - no large openings,37.8045511,-122.2647038,Exempt
010 078501502,345 MACARTHUR BLVD,Incomplete Evaluation,37.81321906,-122.2515314,Incomplete Evaluation
023 041200303,485 WESLEY AVE,Done - Level 1,37.80469876,-122.2500108,Level 1
021 022000100,607 E 18TH ST,Incomplete Evaluation,37.79733992,-122.2492007,Incomplete Evaluation
021 027201700,2030 7TH AVE,Done - Level 1,37.79844291,-122.245917,Level 1
032 206800104,3502 BROOKDALE AVE,Done - Level 1,37.78789584,-122.2100662,Level 1
004 003701800,1212 12TH ST,Incomplete Evaluation,37.80871493,-122.2881058,Incomplete Evaluation
040A341601801,7033 LACEY AVE,Exempt - less than 5 units,37.77064059,-122.172846,Exempt
020 012500800,1231 5TH AVE,Incomplete Evaluation,37.79566159,-122.2545024,Incomplete Evaluation
010 078603400,356 WARWICK AVE,Incomplete Evaluation - Unclaimed,37.8134204,-122.2533113,Incomplete Evaluation
046 547802104,9874 BANCROFT AVE,Done - Level 1,37.7469438,-122.1601305,Level 1
021 022500202,237 WAYNE AVE,Exempt - engineer's letter,37.80163739,-122.2531731,Exempt
048F735400201,6511 LUCAS AVE,Done - Level 2 Required  ,37.82661069,-122.2087174,Level 2
025 073402800,2515 FOOTHILL BLVD,Exempt - no large openings,37.78442696,-122.230451,Exempt
040A345705500,4345 RILEA WAY,Done - Level 1,37.77207436,-122.1509638,Level 1
008 062600800,1553 ALICE ST,Done - Level 1 ,37.80484163,-122.2653574,Level 1
008 062901001,1551 MADISON ST,Done - Level 1,37.80308222,-122.2635323,Level 1
027 086100500,3035 SCHOOL ST,Incomplete Evaluation - Unclaimed,37.79410912,-122.2119244,Incomplete Evaluation
027 085303500,3002 BONA ST,Done - Level 1,37.79233702,-122.2177729,Level 1
012 092700400,344 MONTE VISTA AVE,Incomplete Evaluation,37.82248093,-122.2491948,Incomplete Evaluation
013 111902400,118 ECHO AVE,Ask for exemption - did not review ,37.82718342,-122.2472038,Exempt
022 033801804,2282 PARK BLVD,Done - Level 2 Required  ,37.80140505,-122.2452544,Level 2
023 048101900,3429 13TH AVE,Incomplete Evaluation,37.80222901,-122.2320359,Incomplete Evaluation
015 136402500,795 ALCATRAZ AVE,Exempt - less than 5 units,37.84891659,-122.2683352,Exempt
012 100000100,4040 MANILA AVE,Incomplete Evaluation,37.8285473,-122.2574959,Incomplete Evaluation
012 099603100,4020 BROADWAY,Incomplete Evaluation,37.82783239,-122.2561162,Incomplete Evaluation
020 018600104,1640 5TH AVE,Done - Level 1,37.79741287,-122.2510851,Level 1
022 033800800,2407 IVY DR,Incomplete Evaluation - Unclaimed,37.80139284,-122.2434015,Incomplete Evaluation
010 078301500,406 VAN BUREN AVE,Done - Level 1,37.81070982,-122.2533014,Level 1
010 080300104,245 FAIRMOUNT AVE,Done - Level 2 Required  ,37.81794991,-122.2600454,Level 2
010 080702200,3317 KEMPTON AVE,Level 1 - missing data ,37.82019531,-122.2573842,Level 1
026 075501300,2224 24TH AVE,Done - Level 2 Required  ,37.78849513,-122.2282312,Level 2
030 192000300,3743 39TH AVE,Done - Level 1,37.79119439,-122.1955927,Level 1
024 053500900,4135 PARK BLVD,Incomplete Evaluation,37.80695438,-122.2240272,Incomplete Evaluation
010 079501500,77 VERNON ST,Done - Level 1,37.81313685,-122.2596159,Level 1
012 098801602,777 KINGSTON AVE,Done - Level 1,37.82424389,-122.2491778,Level 1
010 077800700,429 BELLEVUE AVE,Done - Level 1,37.80954325,-122.2529612,Level 1
021 022901901,240 ATHOL AVE,Incomplete Evaluation,37.80058349,-122.2500507,Incomplete Evaluation
033 211700900,1833 33RD AVE,Incomplete Evaluation,37.78249243,-122.2225097,Incomplete Evaluation
021 022402100,118 ATHOL AVE,Done - Level 1,37.80068094,-122.2533196,Level 1
020 012400700,1231 6TH AVE,Incomplete Evaluation,37.7948615,-122.2536996,Incomplete Evaluation
022 033802700,2400 PARK BLVD,Done - Level 2 Required  ,37.80162159,-122.2436713,Level 2
020 013201700,1432 3RD AVE - Bldg #1438,Level 2 - Missing slope,37.79741132,-122.2547026,Incomplete Evaluation
025 073101200,1609 28TH AVE,Incomplete Evaluation - Unclaimed,37.78185548,-122.2284222,Incomplete Evaluation
048A703500100,5390 BROADWAY,Done - Level 2 Required  ,37.83891367,-122.2492065,Level 2
023 041802101,688 BEACON ST,Exempt - engineer's letter,37.80871808,-122.2453782,Exempt
014 124200506,225 CLIFTON ST,Incomplete Evaluation - Unclaimed,37.83573339,-122.2496114,Incomplete Evaluation
010 077606700,435 STATEN AVE,Incomplete Evaluation - Unclaimed,37.80943096,-122.2542532,Incomplete Evaluation
022 030800400,451 WAYNE AVE,Done - Level 1,37.80377735,-122.2514574,Level 1
010 080201401,200 FAIRMOUNT AVE,Incomplete Evaluation - Unclaimed,37.81735697,-122.2597454,Incomplete Evaluation
040A341103700,7708 NEY AVE,,37.76791699,-122.1674016,Level 1
010 078504500,302 EUCLID AVE,Incomplete Evaluation - Unclaimed,37.81404917,-122.2524962,Incomplete Evaluation
020 018500300,427 E 17TH ST,Level 2 - Missing slope,37.79784542,-122.2516919,Incomplete Evaluation
026 076600501,3114 ASHBROOK CT,Done - Level 1,37.78655021,-122.2219699,Level 1
023 040400900,1143 MCKINLEY AVE,Incomplete Evaluation,37.80319815,-122.2391064,Incomplete Evaluation
010 079300600,381 OAKLAND AVE,Incomplete Evaluation,37.8174523,-122.2561561,Incomplete Evaluation
012 093005700,651 OAKLAND AVE,Incomplete Evaluation - Unclaimed,37.82107766,-122.2501128,Incomplete Evaluation
022 031000400,615 BROOKLYN AVE,Incomplete Evaluation,37.80428758,-122.248538,Incomplete Evaluation
020 018000600,1533 3RD AVE,Exempt - city inspection,37.7984629,-122.2542863,Exempt
011 085601001,1041 WARFIELD AVE,Incomplete Evaluation,37.81712973,-122.2408,Incomplete Evaluation
013 110800400,25 WHITMORE PL,Incomplete Evaluation,37.83261342,-122.252189,Incomplete Evaluation
010 082101300,271 SANTA CLARA AVE,Done - Level 2 Required  ,37.81658952,-122.250062,Level 2
027 086300200,3211 SCHOOL ST,Incomplete Evaluation,37.79331743,-122.2100565,Incomplete Evaluation
005 047302200,3201 ADELINE ST,Incomplete Evaluation,37.82396645,-122.2812419,Incomplete Evaluation
022 030901300,331 HANOVER AVE,Exempt - no large openings,37.80309672,-122.2509364,Exempt
010 078400800,373 EUCLID AVE,Done - Level 1,37.81209208,-122.2523363,Level 1
008 062601500,1449 ALICE ST,Exempt - no large openings,37.80340637,-122.2662672,Exempt
010 077700400,417 STATEN AVE,Incomplete Evaluation,37.81001469,-122.2539611,Incomplete Evaluation
033 212902002,1664 35TH AVE,Done - Level 1 ,37.7800677,-122.2200467,Level 1
016 139002101,6116 TELEGRAPH AVE,Done - Level 1,37.84768208,-122.2604675,Level 1
043A464200312,2700 ALVINGROOM CT,Incomplete Evaluation,37.76106594,-122.161722,Incomplete Evaluation
022 030700100,350 NEWTON AVE,Done - Level 1,37.80287077,-122.2486009,Level 1
023 041002300,624 BROOKLYN AVE,Incomplete Evaluation - Unclaimed,37.80448803,-122.2476189,Incomplete Evaluation
010 079002601,350 VERNON ST,Done - Level 2 Required  ,37.81542736,-122.2552961,Level 2
010 077301103,317 LEE ST,Done - Level 1,37.81115245,-122.2565661,Level 1
044 497602101,9940 D ST,Incomplete Evaluation - Unclaimed,37.74065198,-122.1743594,Incomplete Evaluation
032 207400500,4065 LYON AVE,Done - Level 1,37.78203594,-122.2068994,Level 1
022 030200600,2201 11TH AVE,Done - Level 1,37.7968642,-122.2414114,Level 1
048A711002702,5916 OCEAN VIEW DR,Incomplete Evaluation,37.8459207,-122.2449019,Incomplete Evaluation
030 191201100,3621 PATTERSON AVE,Done - Level 1,37.79157198,-122.1979723,Level 1
025 072602000,2932 E 19TH ST,Incomplete Evaluation,37.78351152,-122.2244226,Incomplete Evaluation
015 138301101,5964 RACINE ST South bldg ,Level 1 - missing data ,37.845922,-122.261532,Level 1
014 122400600,474 55TH ST,Exempt - less than 5 units,37.84031025,-122.2608157,Exempt
023 041901000,535 MERRITT AVE,Level 1 - missing data,37.80756102,-122.2475385,Level 1
028 091001000,3441 LAGUNA AVE,Incomplete Evaluation - Unclaimed,37.79820044,-122.2113696,Incomplete Evaluation
029A130203300,3566 DIMOND AVE,Incomplete Evaluation,37.80181469,-122.216441,Incomplete Evaluation
048F735502000,6558 LUCAS AVE,Done - Level 2 Required  ,37.82622534,-122.2076856,Level 2
016 143200500,722 ALCATRAZ AVE,Incomplete Evaluation,37.84967446,-122.2663412,Incomplete Evaluation
023 041900800,541 MERRITT AVE,Incomplete Evaluation,37.80770412,-122.2472784,Incomplete Evaluation
016 142701600,650 ALCATRAZ AVE,Done - Level 1,37.84997576,-122.2640674,Level 1
022 031302000,338 PORTLAND AVE,Done - Level 1,37.8023879,-122.246129,Level 1
020 013700300,837 E 15TH ST - rear house ,Done - Level 1,37.793592,-122.250219,Level 1
010 082609700,386 SANTA CLARA AVE,Incomplete Evaluation - Unclaimed,37.81309124,-122.2480279,Incomplete Evaluation
025 073301200,1783 28TH AVE,Done - Level 1,37.78360103,-122.2268343,Level 1
029 099200302,2461 DAMUTH ST,Incomplete Evaluation - Unclaimed,37.80068006,-122.2111747,Incomplete Evaluation
027 084300300,3231 PRENTISS ST,Incomplete Evaluation,37.78855523,-122.219701,Incomplete Evaluation
021 022200302,425 E 18TH ST,Done - Level 2 Required  ,37.79849303,-122.2508039,Level 2
025 071202900,1516 27TH AVE,Incomplete Evaluation - Unclaimed,37.7816507,-122.2301244,Incomplete Evaluation
028 093902205,3042 MACARTHUR BLVD,Exempt - less than 5 units,37.79708544,-122.203862,Exempt
005 038401600,1608 MYRTLE ST,Incomplete Evaluation - Unclaimed,37.81028518,-122.281116,Incomplete Evaluation
022 030903300,485 STOW AVE,Incomplete Evaluation,37.80400798,-122.2497372,Incomplete Evaluation
020 013600100,705 E 15TH ST,Level 1 - missing data,37.79464737,-122.2512455,Level 1
022 033803101,2424 PARK BLVD,Level 1 - missing data ,37.8017898,-122.2430641,Level 1
010 078600600,389 PALM AVE,Done - Level 2 Required ,37.81307974,-122.2531269,Level 2
010 080100300,2821 HARRISON ST,Exempt - no large openings,37.81591333,-122.2590451,Exempt
011 083900600,3549 LAKESHORE AVE,Exempt - no large openings,37.81260014,-122.2419425,Exempt
010 077402000,375 PERKINS ST,Done - Level 1,37.81102313,-122.2555301,Level 1
030 192900502,3701 MAYBELLE AVE,Incomplete Evaluation,37.78996329,-122.1944558,Incomplete Evaluation
032 204702600,2122 HIGH ST,Done - Level 1,37.77717397,-122.2088116,Level 1
022 030802900,291 HANOVER AVE,Incomplete Evaluation,37.80293588,-122.252151,Incomplete Evaluation
040 336701500,8130 BIRCH ST,Done - Level 1,37.75861841,-122.1739977,Level 1
020 019801301,1946 FOOTHILL BLVD,Done - Level 2 Required  ,37.78786657,-122.2383839,Level 2
037A273400104,3240 61ST AVE,Done - Level 1,37.77531748,-122.1822943,Level 1
022 031301100,421 VAN DYKE AVE,Done - Level 1,37.80214948,-122.2454972,Level 1
020 013600200,727 E 15TH ST,Level 1 - missing data,37.79439739,-122.2511303,Level 1
035 240501900,1942 47TH AVE,Incomplete Evaluation - Unclaimed,37.77379593,-122.2078565,Incomplete Evaluation
021 028002200,505 E 22ND ST,Exempt - less than 5 units,37.80073349,-122.2464837,Exempt
023 041003202,600 BROOKLYN AVE,Incomplete Evaluation,37.80486395,-122.2488354,Incomplete Evaluation
048F735101701,6582 LUCAS AVE,Incomplete Evaluation,37.82543285,-122.2074947,Incomplete Evaluation
010 078602700,324 WARWICK AVE,Incomplete Evaluation,37.81292029,-122.254155,Incomplete Evaluation
022 036903500,2000 E 30TH ST,Incomplete Evaluation - Unclaimed,37.79767173,-122.227991,Incomplete Evaluation
010 080703900,3408 RICHMOND BLVD,Incomplete Evaluation,37.82038735,-122.2578781,Incomplete Evaluation
010 078500400,255 MACARTHUR BLVD,Done - Level 2 Required  ,37.81555901,-122.2525349,Level 2
028 091002500,3440 WILSON AVE,Done - Level 1,37.7982576,-122.2117942,Level 1
023 041802600,655 WESLEY AVE,Incomplete Evaluation,37.80808089,-122.2457252,Incomplete Evaluation
021 022801100,263 ATHOL AVE,Done - Level 1,37.80137131,-122.2497099,Level 1
022 033602000,2430 8TH AVE,Done - Level 1,37.80032664,-122.2411367,Level 1
011 083704400,750 WARFIELD AVE,Incomplete Evaluation,37.81255641,-122.2449097,Incomplete Evaluation
023 047800404,3755 EMERSON WAY,Done - Level 1,37.80476323,-122.2302438,Level 1
010 080601902,110 FRISBIE ST,Incomplete Evaluation,37.81889069,-122.2592554,Incomplete Evaluation
010 078402701,366 BELLEVUE AVE,Level 2 - Missing slope,37.8121727,-122.2528306,Incomplete Evaluation
013 111101600,4231 MONTGOMERY ST,Done - Level 1,37.82993004,-122.2519064,Level 1
012 099600901,207 41ST ST,Incomplete Evaluation,37.827624,-122.253969,Incomplete Evaluation
022 030801200,411 WAYNE AVE,Exempt - no large openings,37.80372565,-122.2525443,Exempt
029A130100700,3621 DIMOND AVE,Level 1 - missing data ,37.80265471,-122.2169151,Level 1
021 027200500,2039 8TH AVE,Incomplete Evaluation,37.79812661,-122.2453273,Incomplete Evaluation
023 047801301,3738 PARK BOULEVARD WAY,Done - Level 2 Required  ,37.80490623,-122.2307865,Level 2
022 033201200,2426 12TH AVE,Done - Level 1,37.79735506,-122.2379993,Level 1
022 030903200,491 STOW AVE,Done - Level 2 Required  ,37.80404708,-122.2495858,Level 2
021 023100700,1829 6TH AVE,Done - Level 1,37.7982371,-122.2490214,Level 1
029A130503300,3704 FRUITVALE AVE,Level 2 - Missing slope,37.80286483,-122.2147922,Incomplete Evaluation
043A467603102,9700 MOUNTAIN BLVD,Level 2 - Missing slope,37.75479163,-122.1492233,Incomplete Evaluation
010 079102600,400 ORANGE ST,Done - Level 2 Required,37.81682359,-122.2546083,Level 2
010 081400400,3823 HARRISON ST,Done - Level 1,37.82159053,-122.2514055,Level 1
010 083101300,230 SANTA ROSA AVE,Incomplete Evaluation,37.81856249,-122.2487962,Incomplete Evaluation
015 130601900,1089 57TH ST,Incomplete Evaluation,37.84023297,-122.2821438,Incomplete Evaluation
011 083803600,746 RAND AVE,Done - Level 2 Required,37.81127626,-122.2443922,Level 2
028 091500101,2701 MACARTHUR BLVD,Incomplete Evaluation,37.7985039,-122.2098306,Incomplete Evaluation
010 081403400,626 EL DORADO AVE,Exempt - engineer's letter,37.82183999,-122.2517911,Exempt
021 023300101,721 E 19TH ST,Done - Level 1,37.79709071,-122.2474026,Level 1
019 002801704,250 E 11TH ST,Incomplete Evaluation,37.796418,-122.2573303,Incomplete Evaluation
021 022500404,221 WAYNE AVE,Done - Level 1,37.80140488,-122.2529401,Level 1
046 549000700,9825 MACARTHUR BLVD,Done - Level 2 Required  ,37.74907541,-122.1586943,Level 2
010 078900300,263 EUCLID AVE,Incomplete Evaluation - Unclaimed,37.81511239,-122.2537007,Incomplete Evaluation
012 093000202,743 OAKLAND AVE,Exempt - engineer's letter,37.82144061,-122.2488583,Exempt
044 496901600,1311 97TH AVE,Incomplete Evaluation - Unclaimed,37.74464653,-122.1725357,Incomplete Evaluation
010 079101902,359 VERNON ST,Incomplete Evaluation,37.81582414,-122.2556684,Incomplete Evaluation
010 080101200,78 FAIRMOUNT AVE,Incomplete Evaluation - Unclaimed,37.81624596,-122.2600116,Incomplete Evaluation
026 078501502,2545 26TH AVE,Incomplete Evaluation,37.79086934,-122.2238661,Incomplete Evaluation
021 022602101,230 WAYNE AVE,Incomplete Evaluation,37.80176329,-122.2525063,Incomplete Evaluation
021 022801500,243 ATHOL AVE,Incomplete Evaluation,37.80111607,-122.2502871,Incomplete Evaluation
010 080801000,401 FAIRMOUNT AVE,Exempt - retrofitted,37.81921296,-122.2569505,Exempt
010 077901600,436 BELLEVUE AVE,Incomplete Evaluation,37.8092535,-122.2523276,Incomplete Evaluation
008 067600700,532 25TH ST,Exempt - city inspection,37.81472737,-122.2692805,Exempt
027 083905000,2336 FRUITVALE AVE,Done - Level 1,37.78608373,-122.2213879,Level 1
001 017701401,711 MADISON ST,Incomplete Evaluation,37.79699564,-122.2671848,Incomplete Evaluation
032 208402202,2000 36TH AVE,Done - Level 1,37.78177786,-122.2165734,Level 1
021 022901400,350 WAYNE PL,Done - Level 1,37.80041402,-122.2505487,Level 1
010 077700100,395 VAN BUREN AVE,Done - Level 1,37.81037737,-122.2539158,Level 1
021 021900901,730 E 17TH ST,Incomplete Evaluation,37.7960365,-122.2486966,Incomplete Evaluation
012 097802301,396 38TH ST,Done - Level 1,37.82671522,-122.2598936,Level 1
022 033801400,2301 IVY DR,Incomplete Evaluation,37.8012254,-122.2445106,Incomplete Evaluation
043A463901900,8658 MACARTHUR BLVD,Incomplete Evaluation,37.7582549,-122.1619559,Incomplete Evaluation
010 078000900,570 GRAND AVE,Done - Level 2 Required,37.80929503,-122.2502225,Level 2
032 210802802,2412 35TH AVE,Exempt - engineer's letter,37.78641354,-122.2125484,Exempt
021 022500801,127 ATHOL AVE,Incomplete Evaluation - Unclaimed,37.80113886,-122.2535055,Incomplete Evaluation
022 030902000,462 STOW AVE,Exempt - no large openings,37.80348687,-122.2505464,Exempt
008 062504000,1614 WEBSTER ST,Incomplete Evaluation,37.805144,-122.2672394,Incomplete Evaluation
021 027401000,1926 6TH AVE,Incomplete Evaluation,37.79842111,-122.2476807,Incomplete Evaluation
020 021500500,1745 12TH AVE,Incomplete Evaluation,37.79320486,-122.2447948,Incomplete Evaluation
023 041300900,420 MERRITT AVE,Done - Level 1,37.80524793,-122.2490256,Level 1
010 077201000,443 LEE ST,Level 2 - Missing slope,37.80998471,-122.2571992,Incomplete Evaluation
035 235801802,4555 BANCROFT AVE,Incomplete Evaluation,37.77205833,-122.2110921,Incomplete Evaluation
033 215101800,1818 ROSEDALE AVE,Exempt - less than 5 units,37.77647571,-122.214959,Exempt
021 023401901,1846 8TH AVE,Done - Level 1,37.79650402,-122.2467149,Level 1
024 053201000,4001 GREENWOOD AVE,Done - Level 1,37.80705167,-122.2263436,Level 1
025 071600902,1500 29TH AVE,Done - Level 1,37.77997413,-122.2277724,Level 1
008 063001000,1520 MADISON ST,Incomplete Evaluation - Unclaimed,37.80270482,-122.2628988,Incomplete Evaluation
023 041900900,539 MERRITT AVE,Done - Level 1,37.80763218,-122.2474109,Level 1
011 085301602,1001 WALKER AVE,Done - Level 2 Required  ,37.81627982,-122.244536,Level 2
040A341703400,6918 LACEY AVE,Done - Level 1,37.77147353,-122.1732493,Level 1
010 077300800,303 LEE ST,Level 1 - missing data ,37.81162218,-122.256671,Level 1
010 082901200,541 CHETWOOD ST,Incomplete Evaluation,37.81762398,-122.2499447,Incomplete Evaluation
037A275509001,6650 LAIRD AVE,Incomplete Evaluation,37.77338586,-122.1750302,Incomplete Evaluation
011 087201600,3600 LAKESHORE AVE,Done - Level 1,37.81269929,-122.2405586,Level 1
012 098801603,779 KINGSTON AVE,Done - Level 1,37.82435656,-122.2490598,Level 1
011 085201900,1010 WALKER AVE,Exempt - retrofitted,37.81638469,-122.2440506,Exempt
010 077301005,288 VAN BUREN AVE,Done - Level 2 Required  ,37.81126199,-122.2568211,Level 2
