BLOCK,LOT,PROPERTY,SUBJECT TO THE PROGRAM Y/N,TIER,STATUS,BOS DISTRICT
623,8,1865 CLAY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
623,007B,1848 FRANKLIN ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
623,7,1832 FRANKLIN ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
624,007A,1980 SACRAMENTO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
624,13,1945 CLAY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
624,5,1950 SACRAMENTO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
630,18,2590 SACRAMENTO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
632,1,2139 PIERCE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
633,11,2034 SCOTT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
634,22,2645 SACRAMENTO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
635,23,2511 SACRAMENTO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
637,9,2238 CALIFORNIA ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
637,17,2329 SACRAMENTO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
639,17,2171 SACRAMENTO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
640,17,2011 SACRAMENTO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
644,2,1451 LARKIN ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",3
644,5,1435 LARKIN ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",3
648,8,1762 PINE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
650,8,1920 PINE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
651,3,1929 LAGUNA ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
651,23,2135 CALIFORNIA ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
652,67,2158 PINE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
652,13,2152 PINE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
652,9,2126 PINE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
665,36,1755 PINE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
674,21,1865 BUSH ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
681,35,2275 SUTTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
681,030A,2245 SUTTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
683,18,1706 STEINER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
683,29,2053 SUTTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
688,3,1401 GOUGH ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
726,13,1428 STEINER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
728,46,1329 PIERCE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
744,13,939 EDDY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
753,6,1570 GOLDEN GATE AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
774,14,1040 STEINER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
775,14,1376 MCALLISTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
775,15,1382 MCALLISTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
775,3,1025 STEINER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
776,1,925 PIERCE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
777,3,815 PIERCE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
777,5,1100 FULTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
778,1,993 STEINER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
778,012B,1096 FULTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
779,20,950 STEINER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
805,35,725 GROVE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
806,40,616 HAYES ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
807,3,515 OCTAVIA ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
808,19,550 OCTAVIA ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
819,6,528 FELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
821,36,829 HAYES ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
822,19,874 FELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
824,006B,530 SCOTT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
824,12,556 SCOTT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
824,002D,1133 HAYES ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
825,37,419 PIERCE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
826,23,880 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
826,008A,860 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
827,25,861 FELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
827,24,867 FELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
827,30,823 FELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
828,006A,606 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
829,16,528 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
830,17,550 BUCHANAN ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
830,4,405 LAGUNA ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
837,10,74 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
837,13,130 GOUGH ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
837,7,52 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
839,12,260 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
840,9,380 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
842,2,337 WEBSTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
842,3,333 WEBSTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
842,29,625 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
842,26,643 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
842,28,633 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
842,001A,607 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
844,18,326 PIERCE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
844,25,867 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
844,23,362 PIERCE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
845,29,957 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
846,1,257 PIERCE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
848,1,349 FILLMORE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
848,2,345 FILLMORE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
851,11,220 HAIGHT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
851,10,218 HAIGHT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
852,26,200 ROSE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
853,017A,146 ROSE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
861,14,556 WALLER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
862,27,723 HAIGHT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
862,022A,769 HAIGHT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
862,29,707 HAIGHT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
866,7,115 STEINER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",8
867,23,118 STEINER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
869,1,201 WALLER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
869,13,138 HERMANN ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
874,8,2 CHURCH ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",8
875,13,34 STEINER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",8
914,6,1961 JEFFERSON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
918,003D,2265 BEACH ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
927,27,2285 BAY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
933,5,3035 BAKER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
935,006B,3130 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
941,24,2844 LYON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
959,3,2621 DIVISADERO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
963,16,2900 PACIFIC AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
975,7,3040 JACKSON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
976,47,2919 PACIFIC AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
979,33,2355 SCOTT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
980,70,2865 JACKSON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
980,3,2341 DIVISADERO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
986,23,3590 WASHINGTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
995,26,3535 WASHINGTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
995,29,3545 WASHINGTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
996,40,3436 CLAY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
997,34,3300 CLAY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
999,8,3110 CLAY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
999,9,3114 CLAY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1001,34,2921 WASHINGTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1002,32,2845 WASHINGTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1002,23,2226 DIVISADERO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1006,11,3122 SACRAMENTO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1006,18,3199 CLAY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1009,10,3434 SACRAMENTO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1010,16,360 LOCUST ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1015,1,401 CHERRY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1020,6,499 WALNUT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1023,16,3048 CALIFORNIA ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1023,20,3070 CALIFORNIA ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1026,17,2038 DIVISADERO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1031,11,3000 PINE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1036,20,86 PARKER AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1036,35,20 PARKER AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1037,42,3715 CALIFORNIA ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1039,1,1 JORDAN AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1040,7,35 PALM AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1040,14,75 PALM AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1048,1,2801 PINE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1053,1,1679 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1055,10,2750 SUTTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1057,3,65 LUPINE AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1058,11,4 LUPINE AVE,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1062,34,168 PALM AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1069,3,11 WOOD ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1073,17,2737 SUTTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1076,21,2495 SUTTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1081,33,2539 POST ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1081,32,2543 POST ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1082,3,1327 LYON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1086,33,291 PARKER AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1086,36,275 PARKER AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1089,23,140 COOK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1092,20,170 WOOD ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1092,24,146 WOOD ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1100,42,2025 OFARRELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1104,14,300 ANZAVISTA AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1112,33,2230 TURK BL,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1112,32,2220 TURK BL,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1112,13,2200 TURK BL,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1112,14,2210 TURK BL,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1112,24,90 NIDO AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1115,1,71 TERRA VISTA AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1119,1,1 ANZAVISTA AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1129,012A,1860 TURK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1130,8,1900 TURK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",2
1138,12,2990 TURK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1150,29,2199 TURK BL,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1152,24,844 BAKER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1153,008A,1760 GOLDEN GATE AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1153,11,1786 GOLDEN GATE AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1153,14,914 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1153,15,918 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1154,6,1025 SCOTT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1154,4,1031 SCOTT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1154,006B,1610 GOLDEN GATE AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1155,20,924 DIVISADERO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1155,13,1560 MCALLISTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1155,27,1665 GOLDEN GATE AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1156,8,1604 MCALLISTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1156,28,1743 GOLDEN GATE AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1156,16,1670 MCALLISTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1157,3,829 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1157,2,839 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1157,006A,1712 MCALLISTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1158,12,1822 MCALLISTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1158,14,1836 MCALLISTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1166,25,222 WILLARD ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1167,41,2845 GOLDEN GATE AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1168,5,331 WILLARD ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1169,5,2344 FULTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1169,1,369 STANYAN ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1169,11,2390 FULTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1170,35,2288 FULTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1174,5,1850 FULTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1178,24,1755 MCALLISTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1178,26,1733 MCALLISTER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1179,18,718 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1180,1,841 SCOTT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1181,16,738 DIVISADERO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1181,25,1231 FULTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1181,12,1240 GROVE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1184,1,561 BAKER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1185,21,628 CENTRAL AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1185,33,1639 FULTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1185,20,1690 GROVE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1185,18,1678 GROVE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1186,009D,1753 FULTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1187,009E,1851 FULTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1189,002D,2000 GROVE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1191,24,2271 FULTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",1
1193,35,2131 GROVE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1194,18,130 COLE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1195,6,1974 HAYES ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1199,16,1588 HAYES ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1199,10,1534 HAYES ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1199,18,422 LYON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1200,001C,535 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1200,001B,545 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1201,36,1329 GROVE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1202,6,1220 HAYES ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1202,001B,635 SCOTT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1202,001A,651 SCOTT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1204,20,400 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1204,20,1290 FELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1204,22,412 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1204,32,1359 HAYES ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1209,33,829 MASONIC AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1209,1,1801 HAYES ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1210,16,1852 FELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1210,10,1814 FELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1210,24,228 CLAYTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1211,23,1994 FELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1212,7,299 COLE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1212,17,238 SHRADER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1213,002A,2100 FELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1213,2,235 SHRADER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1213,002C,245 SHRADER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1216,15,1133 FELL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1217,36,1021 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1219,3,237 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1219,27,1285 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1220,11,1256 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1220,27,1359 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1220,2,133 BAKER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1221,18,1364 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1222,12,1456 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1222,13,1458 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1222,29,1541 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1222,11,1438 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1222,16,1474 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1222,25,1000 MASONIC AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1224,4,445 ASHBURY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1225,34,1837 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1225,26,424 COLE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1225,30,1875 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1226,11,1844 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1226,15,1868 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1226,20,410 SHRADER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1226,37,401 COLE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1226,14,1862 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1226,27,1951 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1226,36,1907 OAK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1227,5,1900 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1229,20,1881 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1229,22,1871 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1230,19,532 COLE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1231,20,544 CLAYTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1232,18,524 ASHBURY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1232,4,1157 MASONIC AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1233,42,1443 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1233,19,1366 HAIGHT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1234,2,37 LYON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1234,34,1333 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1236,26,1103 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1236,8,101 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1237,3,285 DIVISADERO ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1238,32,941 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1238,30,955 PAGE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1239,1,801 HAIGHT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1239,30,851 HAIGHT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1240,28,959 HAIGHT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1240,11,842 WALLER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1241,4,11 BRODERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1242,4,60 CENTRAL AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1242,5,909 BUENA VISTA WEST AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1243,18,1270 WALLER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1245,10,1436 WALLER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1245,14,1466 WALLER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1245,17,652 CLAYTON ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1245,2,625 ASHBURY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1245,15,1480 WALLER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1248,2,625 COLE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1250,10,110 BEULAH ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1250,016A,160 BEULAH ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1252,23,358 FREDERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1252,33,764 COLE ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1253,25,318 FREDERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1254,1,1401 WALLER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1255,18,102 FREDERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1255,23,136 FREDERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1255,19,110 FREDERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1255,3,1317 MASONIC AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1256,70,789 BUENA VISTA WEST AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1256,44,1275 WALLER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1256,50,1235 WALLER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1258,43,135 BUENA VISTA EAST AV,Y,3,"Permit Submitted, CFC Required by 9/15/19",8
1260,54,727 WALLER ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",8
1260,5,65 SCOTT ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",8
1262,28,818 STANYAN ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1266,41,545 FREDERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1267,21,152 CARL ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1268,1,303 FREDERICK ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1269,3,811 ASHBURY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1269,37,1019 ASHBURY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1269,22,905 ASHBURY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
1269,151,150 DOWNEY ST,Y,3,"Permit Submitted, CFC Required by 9/15/19",5
